song,artist,uri,genre
Welcome to the Party,Pop Smoke,spotify:track:7GGB121dCe4BKIpmRJHiDJ,hip-hop
Bank Account,21 Savage,spotify:track:5eqK0tbzUPo2SoeZsov04s,hip-hop
Drip Too Hard,Lil Baby & Gunna,spotify:track:78QR3Wp35dqAhFEc2qAGjE,hip-hop
Earl,Earl Sweatshirt,spotify:track:6Ecv0YG6QR0Zggsdw3u3mb,hip-hop
Hands on the Wheel,ScHoolboy Q (Feat. A$AP Rocky),spotify:track:78JKJfKsqgeBDBF58gv1SF,hip-hop
Only,"Nicki Minaj (Feat. Drake, Lil Wayne, & Chris Brown)",spotify:track:0CSrlx5BND6JjYLhhESiHP,hip-hop
Bandz a Make Her Dance,Juicy J (Feat. Lil Wayne & 2 Chainz),spotify:track:7EZPH9Px3gXlxD5KJDwtwc,hip-hop
Black Beatles,Rae Sremmurd (Feat. Gucci Mane),spotify:track:5JA3kX5U1r5rgXO9tG1ER9,hip-hop
Bible on the Dash,Gunplay,spotify:track:0ymMvHAozg5LuIhqj8tVb3,hip-hop
Love Sosa,Chief Keef,spotify:track:01Lr5YepbgjXAWR9iOEyH1,hip-hop
Twist My Fingaz,YG (Feat. Slim 400),spotify:track:0evVIHGlp94jOUMvoQZRVD,hip-hop
Backseat Freestyle,Kendrick Lamar,spotify:track:3aGibUHhQyBsyumYHylw0K,hip-hop
Stay Schemin,Rick Ross (Feat. Drake & French Montana),spotify:track:5TfZfcsbBqhRysexP7ueJH,hip-hop
Thuggin’,Freddie Gibbs & Madlib,spotify:track:6m192NGYZHIbO5UBkkM4oN,hip-hop
Crew,GoldLink (Feat. Brent Faiyaz & Shy Glizzy),spotify:track:15EPc80XuFrb2LmOzGjuRg,hip-hop
Sicko Mode,Travis Scott (Feat. Drake),spotify:track:1x9DaemhjMZozZvta0rzSa,hip-hop
The Story of Adidon,Pusha T,spotify:track:1dp8aQANyTRKssDeAYPiZe,hip-hop
Type of Way,Rich Homie Quan,spotify:track:0YKvEXArXE4GeGzqCsaifN,hip-hop
Monster,"Kanye West (Feat. Jay-Z, Rick Ross, Nicki Minaj, & Bon Iver)",spotify:track:1ZHYJ2Wwgxes4m8Ba88PeK,hip-hop
Peso,A$AP Rocky,spotify:track:3tTpvK7QgjjQCKGnHt5xn3,hip-hop
Magnolia,Playboi Carti,spotify:track:1e1JKLEDKP7hEQzJfNAgPl,hip-hop
XXX,Danny Brown,spotify:track:3fMYdbxKBDKtLa1HB9iBDK,hip-hop
Trap Queen,Fetty Wap,spotify:track:2d8JP84HNLKhmd6IYOoupQ,hip-hop
Cartoons and Cereal,Kendrick Lamar (Feat. Gunplay),spotify:track:31Yebmn7gDvxc0yjRV8M5t,hip-hop
No Type,Rae Sremmurd,spotify:track:4scpF6J5uMBvoh6sFB7EL1,hip-hop
Danny Glover,Young Thug,spotify:track:0VL32DjEZZiOj2dYo9a0NX,hip-hop
212,Azealia Banks (Feat. Lazy Jay),spotify:track:16PvV0ebMHyiWveAOA3e9z,hip-hop
Lucid Dreams,Juice WRLD,spotify:track:285pBltuF7vW8TeWk8hdRR,hip-hop
March Madness,Future,spotify:track:3WcC6NH9J77xPEvj1SOL7z,hip-hop
N----s in Paris,Jay-Z & Kanye West,spotify:track:1kWUMpe0w9h4ep1iCvPflp,hip-hop
Marvins Room,Drake,spotify:track:047fCsbO4NdmwCBn8pcUXl,hip-hop
B.M.F. (Blowin’ Money Fast),Rick Ross (Feat. Styles P),spotify:track:4XVZ3Ztmd2koc5S7Yey8NY,hip-hop
Versace,Migos,spotify:track:0XGLsSU6wtfnKXiMNvQr61,hip-hop
I’m God,Lil B,spotify:track:5WnfnSpuNEGXyEt78PBA6d,hip-hop
Hard in Da Paint,Waka Flocka Flame,spotify:track:3XQY8kDjI8LARMIC9xkxQk,hip-hop
XO Tour Llif3,Lil Uzi Vert,spotify:track:7GX5flRQZVHRAGd6B4TmDO,hip-hop
Codeine Crazy,Future,spotify:track:0joQFwiBKmi6X1Iq5R1ubH,hip-hop
Bodak Yellow,Cardi B,spotify:track:6KBYefIoo7KydImq1uUQlL,hip-hop
Yonkers,"Tyler, The Creator",spotify:track:1nwkSqzTyXBk6XF796EOav,hip-hop
Hot N---a,Bobby Shmurda,spotify:track:0alZMmUP2pewhIIFtgjJYI,hip-hop
Lifestyle,Rich Gang,spotify:track:7DTlsMOQjGysXHpwwpHuPl,hip-hop
Alright,Kendrick Lamar,spotify:track:3iVcZ5G6tvkXZkZKlMpIUs,hip-hop
Dreams and Nightmares,Meek Mill,spotify:track:42zd6DYQ4o4SECmTITrM1U,hip-hop
I Don’t Like,Chief Keef (Feat. Lil Reese),spotify:track:3QFWOD872qTF2qK1Bw5O4M,hip-hop
Runaway,Kanye West (Feat. Pusha T),spotify:track:3DK6m7It6Pw857FcQftMds,hip-hop
Rest In Pieces,Saliva,spotify:track:6XYTdS3FRzfZh3Umid2ILx,rock
Loser,3 Doors Down,spotify:track:1aC1IBAETh2XYGOE8kCC6t,rock
Crawling,Linkin Park,spotify:track:57BrRMwf9LrcmuOsyGilwr,rock
Someday,Nickelback,spotify:track:4PkJ7c9y1CwpuVOiJODnCZ,rock
It’s Been Awhile,Staind,spotify:track:25CMmGsl22APKhfuj4Tp7j,rock
Blurry,Puddle of Mudd,spotify:track:6lSr3iZTC144PKhvbPFzMp,rock
In The End,Linkin Park,spotify:track:60a0Rd6pjrkxjPbaKzXjfq,rock
How You Remind Me,Nickelback,spotify:track:0gmbgwZ8iqyMPmXefof8Yf,rock
Bad Day,Fuel,spotify:track:5z5ao3FAaVwHk1g7xuOBcB,rock
The Middle,Jimmy Eat World,spotify:track:6GG73Jik4jUlQCkKg9JuGO,rock
Bring Me To Life,Evanescence,spotify:track:0COqiPhxzoWICwFCS4eZcp,rock
Somebody Told Me,The Killers,spotify:track:6PwjJ58I4t7Mae9xfZ9l9v,rock
Faint,Linkin Park,spotify:track:4Yf5bqU3NK4kNOypcrLYwU,rock
Dirty Little Secret,The All-American Rejects,spotify:track:5lDriBxJd22IhOH9zTcFrV,rock
Speed Of Sound,Coldplay,spotify:track:7clUVcSOtkNWa58Gw5RfD4,rock
Boulevard of Broken Dreams,Green Day,spotify:track:5GorCbAP4aL0EJ16frG2hd,rock
"You’re Gonna Go Far, Kid",The Offspring,spotify:track:6TfBA04WJ3X1d1wXhaCFVT,rock
Use Somebody,Kings of Leon,spotify:track:5VGlqQANWDKJFl0MBG3sg2,rock
Sex on Fire,Kings of Leon,spotify:track:0ntQJM78wzOLVeCUAW7Y45,rock
Kryptonite,3 Doors Down,spotify:track:6ZOBP3NvffbU4SZcrnt1k6,rock
Like a Stone,Audioslave,spotify:track:3YuaBvuZqcwN3CEAyyoaei,rock
Californication,Red Hot Chili Peppers,spotify:track:48UPSzbZjgc449aqz8bxox,rock
I Disappear,Metallica,spotify:track:51Vic2Yi71YKNtLbyJKgQt,rock
It’s My Life,Bon Jovi,spotify:track:0v1XpBHnsbkCn7iJ9Ucr1l,rock
No Leaf Clover,Metallica,spotify:track:0n4AllHzf3ma4ki20Y9h00,rock
With Arms Wide Open,Creed,spotify:track:0eKyHwckh9vQb8ncZ2DXCs,rock
Chop Suey!,System of a Down,spotify:track:2DlHlPMa4M17kufBvI2lEN,rock
The Diary of Jane,Breaking Benjamin,spotify:track:0faXHILILebCGnJBPU6KJJ,rock
The Pretender,Foo Fighters,spotify:track:7x8dCjCr0x6x2lXKujYD34,rock
Animal I Have Become,Three Days Grace,spotify:track:56sk7jBpZV0CD31G9hEU3b,rock
Breaking The Habit,Linkin Park,spotify:track:6n8TMVyFKoUmDc4apxceRD,rock
Uprising,Muse,spotify:track:4VqPOruhp5EdPBeR92t6lQ,rock
Headstrong,Trapt,spotify:track:1AEYT6VxrxXPMoQUxsY0E4,rock
Last Resort,Papa Roach,spotify:track:5W8YXBz9MTIDyrpYaCg2Ky,rock
Welcome to the Black Parade,My Chemical Romance,spotify:track:5wQnmLuC1W7ATsArWACrgW,rock
Snuff,Slipknot,spotify:track:3RptaQ5Xb8WvtpItZ2f9Hi,rock
Prayer of the Refugee,Rise Against,spotify:track:4OSbctVD37ycS0H3rwRm72,rock
Toxicity,System of a Down,spotify:track:0snQkGI5qnAmohLE7jTsTn,rock
Tears Don’t Fall,Bullet for My Valentine,spotify:track:1kdiiFGX1Htx0aVZYaDwEJ,rock
Mr,The Killers,spotify:track:003vvx7Niy0yvhvHt4a68B,rock
Give Me a Sign,Breaking Benjamin,spotify:track:6BWrIaoodtt7EX6kToWZw0,rock
Numb,Linkin Park,spotify:track:2nLtzopw4rPReszdYBJU6h,rock
No One Knows,Queens of the Stone Age,spotify:track:6NvRxjfYkkT2SpirAlmsjH,rock
Somewhere I Belong,Linkin Park,spotify:track:3agtg0x11wPvLIWkYR39nZ,rock
What I’ve Done,Linkin Park,spotify:track:18lR4BzEs7e3qzc0KVkTpU,rock
Burn It To The Ground,Nickelback,spotify:track:1jq28NGw6wdtFKx8MBPy6C,rock
By The Way,Red Hot Chili Peppers,spotify:track:4WJ47arGuVvHEs0DMufrwr,rock
Psychosocial,Slipknot,spotify:track:3RAFcUBrCNaboRXoP3S5t1,rock
Knights of Cydonia,Muse,spotify:track:7ouMYWpwJ422jRcDASZB7P,rock
Hard to Explain,the Strokes,spotify:track:0OM9ri37LIbPc9hffwsyb1,rock
Chinatown,Bleachers ft. Bruce Springsteen,spotify:track:7IY2JF7AlVN5uvIUBVnSJd,rock
Monsters,All Time Low ft. blackbear,spotify:track:3k9VfOKofPCROXVu28fOmb,rock
The Steps,Haim,spotify:track:5X2RisOZS9i5MsR8EVw58p,rock
No Flag,Elvis Costello,spotify:track:026xziPfk73HTmWSSzQkeL,rock
Ode to the Mets,The Strokes,spotify:track:1BLOVHYYlH4JUHQGcpt75R,rock
Kyoto,Phoebe Bridgers,spotify:track:4vjvx7Zxkb4AltGcZ0BBvI,rock
OK,Wallows,spotify:track:0APAKxMXB7jdDs4kw1l30y,rock
Fox,Dogleg,spotify:track:36yzYaU0lRagD2uKo6ELwY,rock
Care,beabadoobee,spotify:track:1aTf6n7MSd9z1LQYJEcmqF,rock
Bloody Valentine,Machine Gun Kelly,spotify:track:6mADjHs6FXdroPzEGW6KVJ,rock
Mood,24kGoldn ft. iann dior,spotify:track:3FJ7DtxXvO6NnLm1zjf7uQ,rock
Sweet Little Lady,The Big Push,spotify:track:6pWuX5DNdVZPPO4ywGDiJv,rock
Scissorhands,Maggie Lindemann,spotify:track:3FYFaLFmpwKFb5MNAvoHH0,rock
Ohms,Deftones,spotify:track:7nJHd79RwAnEn3yYYpr4b8,rock
Say Less,Nothing,spotify:track:1TG4piLlwdCJOQWpsnpLWm,rock
How Will I Rest in Peace if I’m Buried,a Highway”,spotify:track:4jFLw7QqWlv3lZr980HyYW,rock
Run,Joji,spotify:track:3AkdSFo7quCZ781KCqNK0T,rock
The Beachland Ballroom,IDLES,spotify:track:6numDs6jtM3BAVO2NRrwXC,rock
Wake Me Up,FOALS,spotify:track:1G2OpjUeUn96CkBbbyjpVD,rock
7 Seconds,Porridge Radio,spotify:track:0voJyHU8wz6VEkos3L2ohu,rock
Backyard Boy,Claire Rosinkranz,spotify:track:04F42oEuKrRComYJfJuyVR,rock
Here’s the Thing,Sports Team,spotify:track:4jMCKf7hqXSRv7DD9ZcMVZ,rock
Seventeen Going Under,Sam Fender,spotify:track:1Dp7ASSZVVOPJ85VdLpjOX,rock
Fleabag,YUNGBLUD,spotify:track:2Ww0rg6l92yIXTaW1Z0HXr,rock
White Elephant,Nick Cave and Warren Ellis,spotify:track:4ZOACNngwdpo7hY5zIt35H,rock
Three Wishes,Stone Temple Pilots,spotify:track:6AUDoyTCTXceTI8fbNF8i3,rock
Oh Yeah!,Green Day,spotify:track:3QiNQFiueqnIc6rOPLZB3f,rock
Work,Pop Evil,spotify:track:2u4fyu0QnU64T5euBxOHxZ,rock
Change,Pale Waves,spotify:track:41FCZduFUjoymvDXb6ZviB,rock
Dance of the Clairvoyants,Pearl Jam,spotify:track:3Y1q37A7ecFEdR5IAMWodA,rock
Our Love,Incubus,spotify:track:6j652760j2wctFstQmai4R,rock
Paradise Lost (A Poem,John Milton)”,spotify:track:0brRAViWRg60fyrCynTPxl,rock
Dear Agony (Aurora Version),Breaking Benjamin ft. Lacey Sturm,spotify:track:0c3fJd2HRi6uHWgTljIae5,rock
Hero,Weezer,spotify:track:4Fj6KslSYYQ1kAbafiKoz0,rock
Ordinary Man,Ozzy Osbourne ft. Elton John,spotify:track:6eEYGGFfFbtKHCgJM4uh9v,rock
Rue,girl in red,spotify:track:4EoE743bWWiZ4ttkdPCNbA,rock
Atlas Falls,Shinedown,spotify:track:7m1Lw3uTakxHFxGjXXbE4l,rock
Kacey Musgraves,Follow Your Arrow,spotify:track:4CLPNURPcKztF9RRdcWLGP,country
Little Big Town,Girl Crush,spotify:track:11qh54D0PKkBwelpDxxiEU,country
Carrie Underwood,Church Bells,spotify:track:67citk3uzWs5qbaIVKTeg8,country
Maren Morris,My Church,spotify:track:1LM5zQv5pBKPyO7rm7Uz6U,country
Miranda Lambert,Mama's Broken Heart,spotify:track:2mXsZsJBThTaJXbNcg5QD4,country
Brandy Clark,Stripes,spotify:track:0MJ49ZXdzIb7yw6WjwpSf5,country
The Highwomen,Highwomen,spotify:track:0CTNLJMN9dMG4cl5qgsZSv,country
Sturgill Simpson,Long White Line,spotify:track:40Xg69oisdpuP4C7xl3RkK,country
Margo Price,Hands of Time,spotify:track:2spEkxVBo1217qmjWkWPZu,country
Joshua Hedley,Mr. Jukebox,spotify:track:3SPEV9v2fGKbGBIqYxoZUa,country
Kelsey Waldon,All by Myself,spotify:track:5P2bdFon08MYGVWkfCZKyJ,country
Paul Cauthen,Cocaine Country Dancing,spotify:track:4B9v2AXBpnA5tBhGTaQG0G,country
Tyler Childers,Feathered Indians,spotify:track:2tgQaL85WoRfgEa4hFQgrE,country
Colter Wall,Kate McCannon,spotify:track:5tN0LIuQDapSFedlYJuG0k,country
Charley Crcokett,9 Lb Hammer,spotify:track:3q0FwZMtraqgqpzSxptETB,country
Turnpike Troubadours,Long Hot Summer Day,spotify:track:0kOG4bwpKgRlcJw1NA6csR,country
Brent Cobb,Shine On Rainy Day,spotify:track:1wSEQVYQfq69RmUz1b5a3j,country
Miranda Lambert,Bathroom Sink,spotify:track:0YV73fsl9Wzlj61EPspjJ3,country
Asley McBryde,Girl Goin' Nowhere,spotify:track:2lyEpuvVOnNGzV5c89Vnpf,country
Chris Stapleton,Tennessee Whiskey,spotify:track:3fqwjXwUGN6vbzIwvyFMhx,country
Darius Rucker,Wagon Wheel,spotify:track:3xdjjKMcMOFgo1eQrfbogM,country
Eric Church,Springsteen,spotify:track:05ZACkzW8YbRq3eFgIfSNB,country
Lee Brice,Love Like Crazy,spotify:track:6Ozp6ac86CSHMik8lbvJuM,country
Brandy Clark & Dwight Yoakam,Hold My Hand,spotify:track:6kwXlXsWKMhZFR0aZiDhae,country
Pistol Annies,Takin' Pills,spotify:track:2I8sTYMwuTsTL3K5vR6MB5,country
Eric Church,Drink In My Hand,spotify:track:1cktZnxiONH0hR6Q3DKy8h,country
Miranda Lambert,Tin Man,spotify:track:4ckQIgBy1gVeevf7UAereE,country
Cam,Burning House,spotify:track:2zhk0kypGeOPsaaZcjyc14,country
Brothers Osborne,Stay A Little Longer,spotify:track:23EkfwUdsRIz7jAZIcC8gb,country
Taylor Swift,Mean,spotify:track:5yEPktRqvIhko5QFF3aBhQ,country
Lady A,Need You Now,spotify:track:11EX5yhxr9Ihl3IN1asrfK,country
Dierks Bentley,Drunk On A Plane,spotify:track:1soxUgYIZb1qx1c7o1Lc7z,country
Miranda Lambert & Carrie Underwood,Somethin' Bad,spotify:track:0QULNNd9z5s35entfiiXoa,country
Little Big Town,Pontoon,spotify:track:2Gy3XMLbBxACZ4tXdFRGr7,country
Tim McGraw,Humble and Kind,spotify:track:4Pn0JlCUusD2QHjADuOzuV,country
Zac Brown Band,Homegrown,spotify:track:2kR18wsL3gvXRXdNE4dCGc,country
Little Big Town,Better Man,spotify:track:23TxRN09aR1RB0G0tFoT0b,country
Luke Combs,Beer Never Broke My Heart,spotify:track:7aEtlGHoiPAfRB084NiDmx,country
Kenny Chesney,American Kids,spotify:track:1dgWTMoHwTUnQhOQ8SR5fV,country
Midland,Drinkin' Problem,spotify:track:1vBpwxsLVwaR4evBIaFmqD,country
Luke Bryan,That's My Kind Of Night,spotify:track:5HGibWoxnkYSkl6mHmAlOE,country
Carly Pearce,Every Little Thing,spotify:track:2wxfu24GQpEZQrjDJm5Ac1,country
Taylor Swift,Begin Again,spotify:track:05GsNucq8Bngd9fnd4fRa0,country
Lauren Alaina,Road Less Traveled,spotify:track:4nxgA1nvXvTkmsBY0vJV57,country
Jon Pardi,Dirt On My Boots,spotify:track:7f08qp3HROTkfrtNpiYGGo,country
Kip Moore,Somethin' 'Bout A Truck,spotify:track:6Ymvlzom4TQeoKqAWsZRD8,country
Kelsea Ballerini,Miss Me More,spotify:track:5NfJGBAL9mgFPRQxKJmiX2,country
Tim McGraw & Taylor Swift,Highway Don't Care,spotify:track:0Om9WAB5RS09L80DyOfTNa,country
Thomas Rhett,Die A Happy Man,spotify:track:5kNe7PE09d6Kvw5pAsx23n,country
Maddie & Tae,Girl In A Country Song,spotify:track:4qbibbQ1yK0rPl0JUJS0bz,country
Lady A,Bartender,spotify:track:6olKv2HP3XgBpvVxAswowe,country
Brad Paisley,This Is Country Music,spotify:track:6Ray43gNA6LZxareyESwNk,country
Kacey Musgraves,Dime Store Cowgirl,spotify:track:43xanDcfSBWuURZCWbItzf,country
Russell Dickerson,Every Little Thing,spotify:track:3kgCJPXDlnL5bl1HFesHUi,country
Florida Georgia Line,Cruise,spotify:track:0i5el041vd6nxrGEU8QRxy,country
Sam Hunt,Body Like A Back Road,spotify:track:7mldq42yDuxiUNn08nvzHO,country
Chris Young,Aw Naw,spotify:track:53Dj5PCDhb22qWqmre3YQs,country
Thomas Rhett & Maren Morris,Craving You,spotify:track:5kNe7PE09d6Kvw5pAsx23n,country
Jason Aldean,Dirt Road Anthem,spotify:track:2qYsSHsYkihWx043HVJQRV,country
Dan + Shay,Tequila,spotify:track:42fw0rxRO2xbesF6mJfd4Y,country
Luke Bryan,Play It Again,spotify:track:03fT3OHB9KyMtGMt2zwqCT,country
Randy Houser,Runnin' Outta Moonlight,spotify:track:6enPOmd3vSFpI4jjms8kXN,country
Brett Young,In Case You Didn't Know,spotify:track:10M2Ex445zw585Ducldzkw,country
Blake Shelton,Sangria,spotify:track:0p1HtkrNYxv0iDfEKwXSTp,country
Lee Brice,Hard To Love,spotify:track:6E9V9TRlVOLjenGjHemzEH,country
Kelsea Ballerini,Peter Pan,spotify:track:2wqXQjOmQ9KoBm9Ssgt4Fo,country
I Hope’,Gabby Barrett,spotify:track:23T0OX7QOiIUFShSzbJ5Uo,country
The Bones,Maren Morris,spotify:track:7yFhA2fUsL2oIMWlw5DaHQ,country
Willow,Taylor Swift,spotify:track:0rCaOCuZlOKwTxYLzDuuYs,country
Black Like Me,Mickey Guyton,spotify:track:239xopha4cJfbAfhX76FEQ,country
Bluebird,Miranda Lambert,spotify:track:0kPeZAyIhIfeZNrtfjJGDB,country
I Should Probably Go to Bed,Dan + Shay,spotify:track:5ovVcYo2MvjVydFwFyaaqy,country
I Love My Country,Florida Georgia Line,spotify:track:0clSHsrHl2irBkObcLEZqS,country
Drinking Alone,Carrie Underwood,spotify:track:4objxuNfJlJHomkRIPa2Y2,country
Betty,Taylor Swift,spotify:track:5kI4eCXXzyuIUXjQra0Cxi,country
This City,Sam Fischer,spotify:track:3H3r2nKWa3Yk5gt8xgmsEt,country
More Than My Hometown,Morgan Wallen,spotify:track:5OELUCYgOHKFAvCERnAvfS,country
"Wine, Beer, Whiskey",Little Big Town,spotify:track:5avVDmK9FVJpd3MDO8I3Zl,country
One Too Many,Keith Urban ft. Pink,spotify:track:5NUXE8W12lWcUXgJRCjeEw,country
Cheatin’ Songs,Midland,spotify:track:01dBLHq3UWyDRWDZJXj235,country
The Good Ones,Gabby Barret,spotify:track:3hLuHKzG1cmlRpq53ZVWd8,country
I Wish Grandpas Never Died,Riley Green,spotify:track:7Dxes6VnfbZYV0S2QTnVuT,country
I Hope You’re Happy Now,"Carly Pearce, One Of The Best Country Songs Of The 2020s",spotify:track:0Al3wN3keprGTSgG8NBwjr,country
Chasing After You,Ryan Hurd ft. Maren Morris,spotify:track:3MkXV52jXtsG4pvKp4cGE8,country
Drunk (And I Don’t Wanna Go Home),Elle King ft. Miranda Lambert,spotify:track:0QULNNd9z5s35entfiiXoa,country
Till You Can’t,Cody Johnson,spotify:track:4k3lPl8YTKuY8c1HelVnm3,country
Wild Hearts,Keith Urban,spotify:track:0BQpyaFrb78b9uobWNheqx,country
You Should Probably Leave,Chris Stapleton,spotify:track:2UikqkwBv7aIvlixeVXHWt,country
Bible Verses,Blake Shelton,spotify:track:75S9EXVDrhRd340JOOruRu,country
Never Wanted To Be That Girl,Carly Pearce ft. Ashley McBryde,spotify:track:7yRJMLG9ja0fBVVEmV6vcT,country
Freedom Was a Highway,Jimmie Allen ft. Brad Paisley,spotify:track:3J5jotqUAjU479WhAiNkpU,country
Younger Me,Brothers Osborne,spotify:track:5vyONuW3HK0kJQBkrSp25B,country
Heart on Fire,Eric Church,spotify:track:0ysCB1Jg4hli0XlEWlipo7,country
Remember Her Name,Mickey Guyton,spotify:track:6YMnz4CTX2NSg2JtXiSFJU,country
One Mississippi,Kane Brown,spotify:track:4FdPnT2cFrpWCmWZd7GXc3,country
Always Gonna Love You,Florida Georgia Line,spotify:track:5wTt43UbS3HmDvzAJ7Yax3,country
Fancy Like,Walker Hayes,spotify:track:58UKC45GPNTflCN6nwCUeF,country
23,Sam Hunt,spotify:track:4PuAqZlL1tkidkuxfDlLbF,country
Country Again,Thomas Rhett,spotify:track:3CiF9D8iuVhZWDvvjf8HpG,country
Minimum Wage,Blake Shelton,spotify:track:0Lavu1rppGgXfiK27cAMyU,country
Like I Love Country Music,Kane Brown,spotify:track:3j1xkzTW8owIphkWV51V9s,country
Whiskey on You,Nate Smith,spotify:track:6Tm4Io4ct4w14nB1EUzsY3,country
Heartfirst,Kelsea Ballerini,spotify:track:1S55d7hhptRt8PS6nC1fSY,country
Trouble With a Heartbreak,Jason Aldean,spotify:track:3HO30hRbkOLU6ZWERayfQO,country
Summer on Your Lips,Conner Smith,spotify:track:7HJ54S8MPYQsC7cT6HffOX,country
You Proof,Morgan Wallen,spotify:track:5uU1uuyaUIBOiiUSQG7Wl3,country
Pink Champagne,Carrier Underwood,spotify:track:0LI59fuqv8OTAnY9cqCife,country
Thought You Should Know,Morgan Wallen,spotify:track:6NHpyYvJyQsg2nXXzGYc2R,country
Never Say Never,Cole Swindell ft. Lainey Wilson,spotify:track:03kCiUPjdAV9ur9ugm8PQT,country
Don’t Think Jesus,Morgan Wallen,spotify:track:1TUuhV75FeOF6UObRsABo2,country
Something in the Orange,Zach Bryan,spotify:track:3WMj8moIAXJhHsyLaqIIHI,country
Wild as Her,Corey Kent,spotify:track:4RG7P0CXQ4pe0OeCAHjX5L,country
Tomorrow Me,Luke Combs,spotify:track:52GuoXJUOFAwmPMtH3V9W4,country
5 Foot 9,Tyler Hubbard,spotify:track:6AqwH2Y9FJwhUE2dCSkw1u,country
Pain,Ingrid Andress,spotify:track:37u0I5Q44POEFCLhFREtGJ,country
The Kind of Love We Make,Luke Combs,spotify:track:48UKTR66uUOT9LaUvooTNx,country
Hold Me Tonight,Chancy Squire,spotify:track:6dyMcQKY8KvDakXH56BYjW,country
Stuck On You,Giveon,spotify:track:3LBM25IgxI9y549SiYxtSi,r&b
Not Another Love Song,Ella Mai,spotify:track:5XqDJFVCyRTm5J7cIfRmR1,r&b
By Yourself,Ty Dolla $ign feat. Jhené Aiko & Mustard,spotify:track:1psvnQxSDdIKTDM2Jm8QKt,r&b
Inhale,Bryson Tiller,spotify:track:0ycIrEpkyb4lrqE7M1emju,r&b
Can I,Kehlani,spotify:track:0uDdI4fAXCuNhQbmxENdsO,r&b
Bad Habits,Usher,spotify:track:7beY8mXJuC4l0J2WgVoCfm,r&b
Do It,Chloe x Halle,spotify:track:35Dh5MnCUPLN3XyAVtQff3,r&b
My Affection,Summer Walker feat. PARTYNEXTDOOR,spotify:track:2aSM4sbNN7cSmpYOG0sf46,r&b
Ego Death,"Ty Dolla $ign feat. Kanye West, FKA twigs & Skrillex",spotify:track:3Q5cLvkKsHJvYltf8k7HkO,r&b
Go Crazy,Chris Brown & Young Thug,spotify:track:1IIKrJVP1C9N7iPtG6eOsK,r&b
Summer 2020,Jhené Aiko,spotify:track:0t2q2c43AATY4z1GI883Be,r&b
Believe It,PARTYNEXTDOOR feat. Rihanna,spotify:track:6WHZvtFnceMMv08gUCHR0y,r&b
Killa,Teyana Taylor feat. Davido,spotify:track:46YL800EFmXBhOjab7MLsy,r&b
The Take,Tory Lanez feat. Chris Brown,spotify:track:0Odu228D0yGcFySGuxU4rY,r&b
Snowchild,The Weeknd,spotify:track:3WlbeuhfRSqU7ylK2Ui5U7,r&b
Between Us,dvsn feat. Snoh Aalegra,spotify:track:759KqKQyDmTWJape4odo21,r&b
Back Home,Trey Songz feat. Summer Walker,spotify:track:6t51aLe7rjZhKgONwt6btQ,r&b
Konclusions,YG Feat. Kehlani,spotify:track:00iG3DUfLDwGsCQw8D4bE4,r&b
Wake Up Love,Teyana Taylor feat. IMAN,spotify:track:6QutayBrziruy3GoPMqBBq,r&b
Secret,21 Savage feat. Summer Walker,spotify:track:67lKDoCZbRCJDa4RT68eme,r&b
ATL Freestyle,6LACK,spotify:track:3Isj85ak2yj4EndfKFGs9x,r&b
Get Me,Justin Bieber feat. Kehlani,spotify:track:5VwwpU7KsLhgfbMEecedhJ,r&b
Comeback,JoJo feat. Tory Lanez & 30 Roc,spotify:track:3wN7Spu4tWhefB3LooMLys,r&b
One and Only,J Hus feat. Ella Mai,spotify:track:0PjtIvwCFQMkWoFTVWsCsi,r&b
Pu$$y Fairy (OTW),Jhené Aiko,spotify:track:0cARwJOuhhBQSdq1yiOjZr,r&b
Loyal,PARTYNEXTDOOR feat. Drake,spotify:track:2rFqkDRJlumT7QjljlldlR,r&b
Coffee,Kelly Rowland,spotify:track:7GGlr1GkWjre2lo69N0rVk,r&b
SexBeat,"Usher feat. Lil Jon, Ludacris",spotify:track:6u7nfDFpwoDhtnXv9eRI5C,r&b
After Hours,The Weeknd,spotify:track:2p8IUWQDrpjuFltbdgLOag,r&b
B.S.,Jhené Aiko feat. H.E.R.,spotify:track:63wx9vdskaXbYxyDx4oJCZ,r&b
Know Your Worth,"Khalid, Disclosure",spotify:track:0TrPqhAMoaKUFLR7iYDokf,r&b
One Second,Stormzy feat. H.E.R.,spotify:track:2DdI0KRBuxV5Km0bkm67yh,r&b
Bittersweet,Lianne La Havas,spotify:track:4uawMXx8VZ7WMrjAVOaCMe,r&b
3am in London,Ebenezer,spotify:track:2koXDwwitQIyoL1O9xnk0k,r&b
Slide (Remix),"H.E.R. feat. Pop Smoke, A Boogie Wit da Hoodie & Chris Brown",spotify:track:6MO2bfLHKykUgCChFdw91H,r&b
Don't Waste My Time,Usher feat. Ella Mai,spotify:track:3Ey11v2aiX14s4wBaYbhlp,r&b
Bussit,Ari Lennox,spotify:track:39KiTKARPALXdEYaG5tqFM,r&b
A Muse,dvsn,spotify:track:7HdUnaN512R9oB2QyL8Brl,r&b
Split Decision,PARTYNEXTDOOR,spotify:track:7BY2h0RUgeenWrnbwPr0Kt,r&b
Damage,H.E.R.,spotify:track:0KS2h61pHQ4WmOwruD7uxD,r&b
